barcode;cosmetics;ingredients
28164956;Colorbar On The Go Makeup Remover Wipes;Water (Aqua), Cyclopentasiloxane & Phenyl Trimethicone & Dimethiconol & C12-15 Alkyl Benzoate & Dimethicone Crosspolymer, Phenyl Trimethicone, Isopropyl Alcohol, Aloe Barbadensis Leaf Juice, Glycerin, Fragrance, Dipropylene Glycol, Phenoxyethanol, Methylparaben, Butylparaben, Ethylparaben Propylparaben, Isobutylparaben, Propylene Glycol, Polysorbate-20, Disodium Cocoamphodiacetate, Benzyl Alcohol & Methylchloroisothiazolinone & Methylisothiazolinone, Peg 40 Hydrogenated Castor Oil, Disodium Edta, Centaurea Cyanus Flower Extract, Chamomilla Recutita Flower Extract, *lactic Acid
19192776;Maybelline New York Fit Me Blush;Talc, Magnesium Stearate, Triisostearin, Phenyl Trimethicone, Synthetic Fluorphlogopite, Caprylyl Glycol, Alumina, Silica, Magnesium Silicate, Calcium, Sodium Borosilicate, Calcium Aluminum Borosilicate, Tin Oxide  [+/- May Contain / Peut Contenir, Mica, Ci 77891 / Titanium Dioxide, Ci 77491, Ci 77492, Ci 77499 / Iron Oxides, Ci 77007 / Ultramarines, Ci 75470 / Carmine, Ci 15850 / Red 7, Ci 45410 / Red 28 Lake, Ci 15985 / Yellow 6 Lake, Ci 77742 / Manganese Violet, Ci 73360 / Red 30 Lake, Ci 15850 / Red 6 Ci 19140 / Yellow 5 Lake, Ci 15850 / Red 7 Lake, Ci 77400 / Bronze Powder, Ci 42090 / Blue 1 Lake, Ci 45410 / Red 27, Ci 77163 / Bismuth Oxychloride, Ci 77400 / Copper Powder, Ci 77000 / Aluminum Powder, Ci 77510 / Ferric Ammonium Ferrocyanide, Ci 16035 / Red 40 Lake, Ci 77510 / Ferric Ferrocyanide] , F.i.l. D173485/1
47831186;Colorbar All-Matte Eyeliner;Water, Alcohol Denat., Styrene/acrylates/ammonium Methacrylate Copolymer, Propanediol, Butylene Glycol, Sodium Polymethacrylate, Silica, Sorbitol, Alkyl Benzoate, Ethylhexylglycerin, Sodium Laureth-12 Sulfate, Xanthan Gum, Triethanolamine, Ammonium Hydroxide, Polymethyl Methacrylate, Tocopherol, Phenoxyethanol
65089881;Buy Lakme Complexion Care Color Transform Face Cream;Water, Color changing beads, UVA & UVB Sunscreens
22416692;Colorbar Sindoor;Water, Glob Gum, Sodium Benzoate, Sugar, Sorbitol, Perfume, Pearls & Approved Colors
84538453;Colorbar Matte Touch Lipstick;Castor Oil, Ozokerite, White Beeswax, Petroleum Jelly, Lanolin Anhydrous Ip, Candelilla Wax, Carnauba Wax, Paraffin Wax, Light Liquid Paraffin, Octyl Palmitate, Synthetic Wax, Caprylic Capric Triglyceride, Phenyl Trimethicone Butylated Hydroxytoluene, Propylparaben, Tocopheryl Acetate, Isopropyl Myristate, Tri-isostearoyl Polygycerol-3dimer Dilinoleate, Argan Oil, Moringa Oil, Perfume, Pearls And Pigment
72048582;Wet n Wild Color Icon Eyeshadow Quad;Talc, Synthetic Fluorphlogopite, Ethyl Macadamiate, Boron Nitride, Dimethicone, Silica, Nylon-12, Magnesium Myristate, Aluminum Starch Octenylsuccinate, Polybutene, Trimethylsiloxysilicate, Lauroyl Lysine, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, o-Cymen-5-ol, Water/Eau, Tin Oxide, Triethoxycaprylylsilane, Aluminum Hydroxide, [+/- (MAY CONTAIN/PEUT CONTENIR): Iron Oxides/CI 77491, CI 77492, CI 77499, Mica, Titanium Dioxide/CI 77891, Ultramarines/CI 77007].
66955507;Maybelline New York Total Temptation Mascara;Aqua / Water / Eau, Synthetic Beeswax, Paraffin, Styrene/acrylates/ammonium Methacrylate Copolymer, Oryza Sativa Cera / Rice Bran Wax, Bis-diglyceryl Polyacyladipate-2, Cetyl Alcohol, Ceteareth-33, Propylene Glycol, Stearic Acid, Vp/va Copolymer, Palmitic Acid, Tribehenin, Aminomethyl Propanediol, Phenoxyethanol, Glyceryl Stearate, Isohexadecane, Polybutene, Caprylyl Glycol, Polyquaternium-11, Aluminum Starch Octenylsuccinate Benzoic Acid, Laureth-21, Butylene Glycol, Parfum / Fragrance, Myristic Acid, Sodium Laureth Sulfate, Peg-40 Hydrogenated Castor Oil, Glycerin, Tetrasodium Edta, Sodium Dehydroacetate, Potassium Sorbate, Silica, Cocos Nucifera Fruit Extract / Coconut Fruit Extract, Xanthan Gum [+/- May Contain / Peut Contenir, Ci 77491, Ci 77492, Ci 77499 / Iron Oxides, Ci 77266 / Black 2, Ci 77007 / Ultramarines, Ci 77891 / Titanium Dioxide, Mica, Ci 75470 / Carmine, Ci 77288 / Chromium Oxide Greens, Ci 77742 / Manganese Violet, Ci 77510 / Ferric Ferrocyanide ] F.i.l. D210150/1
68382079;Garnier Skin Naturals Micellar Oil-Infused Cleansing Water + Free Cotton Pad;Aqua/Water, Cyclopentasiloxane, Isohexadecane, Potassium Phosphate, Sodium Chloride, Hexylene Glycol, Dipotassium Phosphate, Disodium Edta, Decyl Glucoside, Polyaminopropyl Biguanide
44803338;Maybelline New York Color Jolt Matte;Octyldodecanol, Polybutene, Bis-Diglyceryl Polyacyladipate Pentaerythrityl Tetraisostearate Polyglyceryl-2 Triisostearate Disteardimonium Hectorite Silica Silylate Propylene Carbonate Cera Microcristallina / Microcrystalline Wax / Cire Microcristalline Calcium Aluminum Borosilicate Calcium Sodium Borosilicate Silica Alumina.
61489017;Colorbar Matte Me As I Am Lipcolor - Colorbar Matte Me As I Am Lipcolor;Talc, Mica, Dimethicone, Isostearyl Neopentanoate, Zinc Stearate, Polybutene, Octyldodecyl Stearoyl Stearate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Isopropyl Isostearate, Nylon-12, Aqua, Benzyl Alcohol, Dehydroacetic Acid, Sodium Hyaluronate, Ubiquinone, Tocopheryl Acetate, Retinyl Palmitate, Caprylic/Capric Triglyceride, Ascorbyl Palmitate, Citric Acid, Glyceryl Oleate, Glyceryl Stearate, Lecithin, Tocopherol, Tin Oxide, Titanium Dioxide, CI 77891, CI 77491, CI 77492, CI 77499, CI 15850
29522173;NYX Professional Makeup Suede Matte Lip Liner;Phenyl Trimethicone, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Hydrogenated Cottonseed Oil, Hydrogenated Coco Glycerides, Cocoglycerides, Synthetic Beeswax, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera/Cire de Carnauba, C10-18 Triglycerides, Ozokerite, Polyethylene, Alumina, Polybutene, Hydrogenated Vegetable Oil, Paraffin, Hydrogenated Microcrystalline Wax, Stearic Acid, Palmitic Acid, Caprylyl Glycol, Hydrogenated Polyisobutene, Talc, Palmitic Acid, Benzoic Acid, Tin Oxide, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Chlorite, Dolomite, Barium Sulfate (CI 77120), Magnesium Carbonate (CI 77713), Phenoxyethanol. MAY CONTAIN / PEUT CONTENIR (+/-): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985), Red 7 (CI 15850), Blue 1 Lake (CI 42090), Red 22 Lake (CI 45380), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Red 36 (CI 12085), Manganese Violet (CI 77742). 
50516663;Colorbar I-Glide Eye Pencil;Isododecane, Cyclopentasiloxane, Peg/ppg-19/19 Dimethicone, Synthetic Wax, Hydrogenated, Polydicyclopentadiene, Nylon-12, C20-40 Alcohols, Perfluorononyl, Dimethicone, Polyglyceryl-4, Diisostearate/polyhydroxystearate/sebacate, Polyethylene, Pentaerythrityl Tetra-di-t-butyl, Hydroxyhydrocinnamate, Tocopherol, Ci 77019, Ci 77891, Ci 77491, Ci 77492, Ci 77499, Ci 77510, Ci 77007, Ci 75470, Ci 77000.
59903138;Buy Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Plum Feather;PVP/Hexadecene copolymer, Nylon powder, Cyclomethicon
86303231;Maybelline New York Instant Age Rewind Eraser Dark Circles Treatment Concealer;G852364 1 Aqua/Water/Eau, Cyclopentasiloxane, Dimethicone, Isododecane, Glycerin, Peg-9 Polydimethylsiloxyethyl Dimethicone, Butylene Glycol, Dimethicone Crosspolymer, Nylon-12, Disteardimonium Hectorite, Cyclohexasiloxane, Peg-10 Dimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Phenoxyethanol, Sodium Chloride, Polyglyceryl-4 Isostearate, Caprylyl Glycol, Disodium Stearoyl Glutamate, Ethylhexylglycerin, Methylparaben, Lycium Barbarum Fruit Extract, Chlorphenesin, Ethylparaben, Aluminum Hydroxide, Peg-9, N-Hydroxysuccinimide, Palmitoyl Oligopeptide, Chrysin, Palmitoyl Tetr Apeptide-7. [+/- May Contain/Peut Contenir: Ci 77891/Titanium Dioxide, Ci 77491, Ci 77492, Ci 77499/Iron Oxides] F.I.L. D44980/4 U.S.Patent Pending
82754703;Colorbar Infinite 24Hrs Eyeliner;Black 2, Water, Ammonium Acrylates Copolymer, Alcohol Denat, Vp/va Copolymer, Poloxamer 407, Butylene Glycol, Disodium Deceth-5 Sulfosuccinate, Ethylhexylglycerin, Myristyl Lactate, Laureth-30, 1,2-hexanediol, Caprylyl Glycol, Citric Acid, Simethicone, Hectorite, Silica, Steareth-4, Bht, Steareth-20, Tocopherol, Phenoxyethanol, Sodium Dehydroacetate, Sorbic Acid
34195683;Colorbar Nude It Lip Color;Castor Seed Oil, Isopropyl Myristate, Paraffinum Liquidum, Petrolatum, Ozokerite, Candelilla Wax, Butyrospermum Parkii, Synthetic Wax, Paraffin, Hydrogenated Polyisobutene, Carnauba Wax, Synthetic Beeswax, Polymethylsilsesquioxane, Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Octyl Palmitate, Caprylic/capric Triglyceride, Jojoba Oil, Octyl Methoxycinnamate, Boron Nitride, Phenyl Trimethicone, Vegetable Squalane, Flavour, Phenoxyethanol, Ethylhexylglycerin, Tocopheryl Acetate, Butylated Hydroxytoluene, [+/- : Ci 77891, Ci 15850, Ci 77499, Ci 77492, Ci 77491, Ci 19140, Ci 42090, Ci 45410, Ci 15880, Mica]
83973033;NYX Professional Makeup Jumbo Eye Pencil;Pure Gold: Isononyl Isononanoate, Octyldodecanol, Ethylhexyl Palmitate, Isostearyl Isostearate, Euphorbia Cerifera (Candelilla) Wax / Euphorbia Cerifera Cera / Cire de Candelilla, Ceresin, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire de Carnauba, Polyethylene, Beeswax / Cera Alba / Cire d'abeille, Tocopheryl Acetate, BHA, Butylparaben, Isobutylparaben, Isopropylparaben. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Carmine (CI 75470), Chromium Oxide Green (CI 77288), Ultramarines (CI 77007), Ferric Ferrocyanide (CI 77510), Blue 1 Lake (CI 42090), Yellow 5 Lake (CI 19140).
59240950;Colorbar Flawless Touch Contour And Highlighter - Neutral;Talc, Mica, Dimethicone, Isostearyl Neopentanoate, Zinc Stearate, Polybutene, Octyldodecyl Stearoyl Stearate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Isopropyl Isostearate, Nylon-12, Aqua, Benzyl Alcohol, Dehydroacetic Acid, Sodium Hyaluronate, Ubiquinone, Tocopheryl Acetate, Retinyl Palmitate, Caprylic/capric Triglyceride, Ascorbyl Palmitate, Citric Acid, Glyceryl Oleate, Glyceryl Stearate, Lecithin, Tocopherol, Tin Oxide, Ci 77891 (Titanium Dioxide), Ci 77491 (Iron Oxides), Ci 77492 (Iron Oxides), Ci 77499 (Iron Oxides), Ci 15850,light Esters
64030740;NYX Professional Makeup Born To Glow Highlighter Singles;Talc, Bis-Diglyceryl Polyacyladipate-2, Calcium Aluminum Borosilicate, Ethylhexyl Palmitate, Lauryl Laurate, Dimethicone, Silica, Chondrus Crispus Powder, Tin Oxide, Disodium EDTA, Caprylyl Glycol, Octyldodecyl Stearoyl Stearate, BHT, Phenoxyethanol. MAY CONTAIN / PEUT CONTENIR (+/-): Ultramarines (CI 77007), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Titanium Dioxide (CI 77891), Mica.
88457018;Colorbar Luxe Nail Lacquer;Butyl Acetate, Ethyl Acetate, Nitrocellulose, Adipic Acid / Neopentyl Glycol / Trimellitic Anhydride Copolymer, Dipropylene Glycol Dibenzoate, Isopropyl Alcohol, Stearalkonium Bentonite, Acrylates Copolymer, Colored Solution & Pearls May Contain Titanium Dioxide, Red Iron Oxide, Black Iron Oxide, Bismuth Oxychloride, D & C Red 34, Ca Lake, Fd&c Yellow 5, Al Lake, D & C Red 6, Ba Lake, D & C Red 7, Ca Lake, D&c Violet 2, Black 2, Ferric Ferrocyanide.
21291334;Colorbar Flawless Air Brush Finish Loose Powder;Talc, Octyldodecyl Stearoyl Stearate, Mica, Caprylic/capric Triglyceride, Zea Mays Starch, Zinc Oxide, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Lauroyl Lysine, Titanium Dioxide, Tocopheryl Acetate, Topaz, Ci 77891 (Titanium Dioxide), Ci 77491 (Iron Oxides), Ci 77492 (Iron Oxides), Ci 77499 (Iron Oxides), Topaz Powder ,velvet Feel Texture,natural Radiance
16108953;Colorbar Aquafeel Foundation;Aqua (Water), Caprylic/capric Triglyceride, Cetyl Alcohol, Glycerin, Glyceryl Stearate Se, Sorbitan Stearate, Trimethylsiloxyphenyl Dimethicone, Phenoxyethanol, Microcrystalline Cellulose, Glyceryl Isostearate, Glyceryl Stearate, Propylene Glycol Isostearate, Propylene Glycol Stearate, Sodium Stearoyl Glutamate, Ceteth-25, Oleth-25, Sodium Dehydroacetate, Cellulose Gum, Disodium Edta, Xylitylglucoside, Anhydroxylitol, Xylitol, Tropolone, Ci 77891 (Titanium Dioxide), Ci 77492 (Iron Oxides), Ci 77491 (Iron Oxides), Ci 77499 (Iron Oxides)
13131984;Buy Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Blush Velvet;PVP/Hexadecene copolymer, Nylon powder, Cyclomethicon
44175859;Colorbar Deep Matte Lip Cr��me;Polybutene, Hydrogenated Didecene, Talc, Isododecane, Cera, Alba (Beeswax), Isostearyl Isostearate, Polymethyl Methacrylate, Silica, Dimethyl Silylate, Dimethicone, Hydrogenated Polycyclopentadiene, Dimethicone/vinyl, Dimethicone Crosspolymer
14763860;Colorbar Lip Prime & Care;Cyclopentasiloxane, Octyldodecyl Stearoyl Stearate, Silica, Ceresin, Polybutene, Microcrystalline Wax, Ozokerite, Ethylhexyl Palmitate, Disteardimonium Hectorite, Tocopherol, Tribehenin, Ascorbyl Palmitate, Sorbitan Isostearate, Iron Oxides, Titanium Dioxide, Palmitoyl Oligopeptide
43437377;Buy Colorbar Diamond Shine Lip Gloss;Octyldodecanol, Ethylcellulose, Pentaerythrityl Tetraisostearate, Silica Dimethyl Silylate, Silica, Polybutene, Diisostearyl Malate, Mica, Ci 77891 (Titanium Dioxide), Phenoxyethanol, Ricinus Communis Seed Oil, (Ricinus Communis (Castor) Seed Oil), Aroma (Flavour), Ci 15850 (Red 6 Lake), Tocopheryl Acetate, Tin Oxide, Limonene
17141013;Wet n Wild Color Icon Blush;Talc, Nylon-12, Boron Nitride, Aluminum Starch Octenylsuccinate, Ethyl Macadamiate, Dimethicone, Magnesium Myristate, Synthetic Fluorphlogopite, Phenoxyethanol, Trimethylsiloxysilicate, Lauroyl Lysine, Caprylyl Glycol, Polybutene, Hexylene Glycol, Ethylhexylglycerin, Tocopherol, o-Cymen-5-ol, Methicone (in shade 749A), [+/- (MAY CONTAIN/PEUT CONTENIR): Mica, Iron Oxides/CI 77491, CI 77492, CI 77499, Titanium Dioxide/CI 77891, Red 40 Lake/CI 16035, Yellow 5 Lake/CI 19140, Ultramarines/CI 77007].
81265791;Colorbar Flawless Finish Mousse Foundation;Water, Caprylyl Methicone, Peg-12 Dimethicone/ppg-20 Crosspolymer, Glycerine, Caprylyl Methicone, Octyl Methoxycinnamate, Trimethylsiloxysilicate, Polypropylsilsesquioxane, Zinc Oxide, Hydrogen Dimethicone, Peg-10 Dimethicone, Cyclopentasiloxane, Sodium Chloride, Ci 77891 (Titanium Dioxide), Ci 77492 (Iron Oxides), Ci 77491 (Iron Oxides), Ci 77499 (Iron Oxides), Glycerin
86869946;Buy Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Fuchsia Sude;PVP/Hexadecene copolymer, Nylon powder, Cyclomethicon
73204251;Colorbar 30 Days Growth Booster Mascara;Water, Stearic Acid, Beeswax, Methylpropanediol, Glyceryl Stearate, Silica, Glycerin, Butylene Glycol, Tribehenin, Aminomethyl Propanol, Bis-peg-18 Methyl Ether Dimethyl Silane, Copernicia Cerifera (Carnauba) Wax, Sodium Chloride, Synthetic Beeswax, Hydroxyethylcellulose, Euphorbia Cerifera (Candelilla) Wax, Acrylates Copolymer, Glyceryl Undecylenate, Silica Dimethyl Silylate, Potassium Sorbate, Sodium Dehydroacetate, Lecithin, Tocopheryl Acetate, Disodium Edta, Ppg-26-buteth-26, Gluconolactone, Hydrolyzed Keratin, Laminaria Digitata Extract, Pelvetia Canaliculata Extract, Peg-40 Hydrogenated Castor Oil, Phenoxyethanol, Xanthan Gum, Sodium Benzoate, Apigenin, Oleanolic Acid, Biotinoyl Tripeptide-1, Ci 77499 (Iron Oxides)
79974441;Colorbar Amino Skin Radiant Foundation;Aqua, Cyclopentasiloxane, Ci 77891 (Titanium Dioxide), Cetyl Peg/ppg-10/1 Dimethicone, Diisopropyl Adipate, Glycerin, Talc, Mica, Ci 77492 (Iron Oxides), Polyglyceryl-3, Diisostearate, Sodium Chloride, Hdi/trimethylol Hexyllactone Crosspolymer, Lauroyl Lysine, Phenoxyethanol, Ci 77491 (Iron Oxides), Dimethicone/vinyl Dimethicone Crosspolymer, Sodium Dehydroacetate, Dimethicone, Xanthan Gum, Disteardimonium Hectorite, Hydrogen Dimethicone, Aluminum Hydroxide, Tetrasodium Edta, Ethylhexylglycerin, Ci 77499 (Iron Oxides), Methicone, Silica, Tocopherol, Lysine, Silicon Elastomers
15544153;Colorbar Ultimate Nail Enamel Remover - Dark Chocolate;Ethyl Acetate, Isopropyl Alcohol, Di Water, Glycerin, D-panthenol, Tocopheryl Acetate, Citric Acid, Potassium Sorbate, Sodium Benzoate, Perfume, Sodium Peg-7 Olive Oil Carboxylate, Propylene Glycol, Approved Colors
39545006;Colorbar Ultimate 8Hrs Stay Lipstick;Coco-caprylate/caprate, Octyldodecanol, Isostearyl Neopentaoate, Kaolin, Microcrystalline Wax, Ozokerite, Methoxy Peg-17/methoxy Peg-11/hdi Cross-polymer, Fragrance, Lecithin, Tocopherol, Ascorbyl Palmitate, Citric Acid.
57682254;NYX Professional Makeup Soft Matte Lip Cream - Copenhagen;Isohexadecane, Pentaerythrityl Tetraisostearate, Disteardimonium Hectorite, Dimethicone, Beeswax/Cera Alba/Cire d⫪Abeille, Glyceryl Behenate/Eicosadioate, Talc, Cyclopentasiloxane, Propylene Carbonate, Silica, Methyl Methacrylate Crosspolymer, Aluminum Starch Octenylsuccinate, Dimethicone Crosspolymer, Rosin/Colophonium/Colophane, Barium Sulfate (CI 77120), Phenoxyethanol, Flavor/Aroma, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Hexyl Cinnamal, Hydroxycitronellal. MAY CONTAIN / PEUT CONTENIR (+/-): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Yellow 6 Lake (CI 15985), Yellow 5 Lake (CI 19140), Red 6 (CI 15850), Red 7 (CI 15850), Red 28 Lake (CI 45410).
34529994;Maybelline New York Face Studio Master Holographic Prismatic Highlighter;G997876, Caprylic/capric Triglyceride, Bis-diglyceryl Polyacyladipate-2, Diisostearyl Malate, Phenyl Trimethicone, Microcrystalline Cellulose, Dimethicone, Calcium Aluminum Borosilicate, Dimethicone/vinyl Dimethicone Crosspolymer, Caprylyl Glycol, Ethylhexylglycerin, Silica, Sorbic Acid, Synthetic Fluorphlogopite, Sodium Dehydroacetate, Tocopheryl Acetate, Tin Oxide, Hydrogen Dimethicone, Tocopherol, Calcium Sodium Borosilicate
15450878;Maybelline New York Fit Me Powder Foundation;Talc, Synthetic Fluorphlogopite, Nylon-12, Titanium Dioxide, Dimethicone, Diphenyl Dimethicone/vinyl Diphenyl Dimethicone/silsesquioxane Crosspolymer, Polymethyl Methacrylate, Ethylhexyl Methoxycinnamate, Caprylic/capric Triglyceride, Zinc Oxide, Diphenylsiloxy Phenyl Trimethicone, Sorbitan Sesquioleate, Vinyl Dimethicone/methicone Silsesquioxane Crosspolymer, Caprylyl Glycol, Ethylhexylglycerin, Lauroyl Lysine, Hydrogen Dimethicone, Perfluorooctyl Triethoxysilane, Methicone, Hydrogenated Palm Oil, Aluminum Hydroxide, [+/- May Contain Mica, Ci 77891 / Titanium Dioxide, Ci 77491, Ci 77492, Ci 77499 / Iron Oxides
47946389;Maybelline New York Total Temptation Mascara - Blackest Black (Washable);Aqua / Water / Eau, Synthetic Beeswax, Paraffin, Styrene/acrylates/ammonium Methacrylate Copolymer, Oryza Sativa Cera / Rice Bran Wax, Bis-diglyceryl Polyacyladipate-2, Cetyl Alcohol, Ceteareth-33, Propylene Glycol, Stearic Acid, Vp/va Copolymer, Palmitic Acid, Tribehenin, Aminomethyl Propanediol, Phenoxyethanol, Glyceryl Stearate, Isohexadecane, Polybutene, Caprylyl Glycol, Polyquaternium-11, Aluminum Starch Octenylsuccinate Benzoic Acid, Laureth-21, Butylene Glycol, Parfum / Fragrance, Myristic Acid, Sodium Laureth Sulfate, Peg-40 Hydrogenated Castor Oil, Glycerin, Tetrasodium Edta, Sodium Dehydroacetate, Potassium Sorbate, Silica, Cocos Nucifera Fruit Extract / Coconut Fruit Extract, Xanthan Gum [+/- May Contain / Peut Contenir, Ci 77491, Ci 77492, Ci 77499 / Iron Oxides, Ci 77266 / Black 2, Ci 77007 / Ultramarines, Ci 77891 / Titanium Dioxide, Mica, Ci 75470 / Carmine, Ci 77288 / Chromium Oxide Greens, Ci 77742 / Manganese Violet, Ci 77510 / Ferric Ferrocyanide ] F.i.l. D210150/1
84537494;Colorbar Arteffects Nail Lacquer;Ethyl Acetate, Butyl Acetate, Nitrocellulose, Adipic Acid / Neopentyl Glycol / Trimellitic Anhydride Copolymer, Acetyl Tributyl Citrate, Isopropyl Alcohol, Acrylates Copolymer, Silica, Benzophenone-1, Colored Solution & Pearls May Contain Titanium Dioxide, Red Iron Oxide, Ferric Ferrocyanide, Black Iron Oxide, Bismuth Oxychloride, D & C Red 34, Ca Lake, Fd&c Yellow 5, Al Lake, D & C Red 6, Ba Lake, D & C Red 7, Ca Lake, D&c Violet 2, Black 2
76868506;Colorbar Magical Double Duty Eyeliner and Eyeshadow;Mica, Titanium Dioxide,water, Silica, Glycerin, Methylpropanediol, C12-15 Alkyl Benzoate, Trimethylsiloxyphenyl Dimethicone, Peg-60 Hydrogenated Castor Oil, Polyurethane-35, Disodium Coco-glucoside Citrate, Xanthan Gum, Phenoxyethanol
